field,band,peak,snr_value
SPLUS-s41s28.fits,J0515,18.374907,5
SPLUS-s41s28.fits,J0515,18.377998,10
SPLUS-s41s28.fits,J0515,16.678782,50
SPLUS-s41s28.fits,J0660,20.66471,3
SPLUS-s41s28.fits,J0660,19.906334,5
SPLUS-s41s28.fits,J0660,19.11704,10
SPLUS-s41s28.fits,J0660,17.501377,50
SPLUS-s41s28.fits,J0861,19.800695,3
SPLUS-s41s28.fits,J0861,19.063927,5
SPLUS-s41s28.fits,J0861,18.195705,10
SPLUS-s41s28.fits,J0861,16.880463,50
SPLUS-s41s28.fits,i,20.544027,3
SPLUS-s41s28.fits,i,19.92539,5
SPLUS-s41s28.fits,i,19.321712,10
SPLUS-s41s28.fits,i,17.803394,50
SPLUS-s41s28.fits,r,20.800117,3
SPLUS-s41s28.fits,r,19.875484,5
SPLUS-s41s28.fits,r,19.280167,10
SPLUS-s41s28.fits,r,17.704132,50
SPLUS-s41s28.fits,u,20.426882,3
SPLUS-s41s28.fits,u,19.27117,5
SPLUS-s41s28.fits,u,17.88926,10
SPLUS-s41s28.fits,u,16.944859,50
SPLUS-s41s28.fits,z,20.320942,3
SPLUS-s41s28.fits,z,19.192146,5
SPLUS-s41s28.fits,z,18.654037,10
SPLUS-s41s28.fits,z,16.593298,50
SPLUS-s41s28.fits,g,20.600224,3
SPLUS-s41s28.fits,g,19.384418,5
SPLUS-s41s28.fits,g,19.259224,10
SPLUS-s41s28.fits,g,17.522682,50
SPLUS-s22s21.fits,J0378,20.93897,3
SPLUS-s22s21.fits,J0378,19.910439,5
SPLUS-s22s21.fits,J0378,18.776375,10
SPLUS-s22s21.fits,J0378,17.75893,50
SPLUS-s22s21.fits,J0395,20.423868,3
SPLUS-s22s21.fits,J0395,20.123087,5
SPLUS-s22s21.fits,J0395,19.128548,10
SPLUS-s22s21.fits,J0395,16.646374,50
SPLUS-s22s21.fits,J0410,20.770613,3
SPLUS-s22s21.fits,J0410,20.229174,5
SPLUS-s22s21.fits,J0410,19.103638,10
SPLUS-s22s21.fits,J0410,17.301884,50
SPLUS-s22s21.fits,J0430,20.845203,3
SPLUS-s22s21.fits,J0430,20.18505,5
SPLUS-s22s21.fits,J0430,19.325182,10
SPLUS-s22s21.fits,J0430,17.524593,50
SPLUS-s22s21.fits,J0515,20.754822,3
SPLUS-s22s21.fits,J0515,20.541992,5
SPLUS-s22s21.fits,J0515,19.691307,10
SPLUS-s22s21.fits,J0515,17.35789,50
SPLUS-s22s21.fits,J0660,21.38631,3
SPLUS-s22s21.fits,J0660,20.835531,5
SPLUS-s22s21.fits,J0660,19.853474,10
SPLUS-s22s21.fits,J0660,18.022326,50
SPLUS-s22s21.fits,J0861,20.29522,3
SPLUS-s22s21.fits,J0861,19.655987,5
SPLUS-s22s21.fits,J0861,18.89775,10
SPLUS-s22s21.fits,J0861,17.409151,50
SPLUS-s22s21.fits,i,21.214493,3
SPLUS-s22s21.fits,i,20.837093,5
SPLUS-s22s21.fits,i,19.793018,10
SPLUS-s22s21.fits,i,18.186094,50
SPLUS-s22s21.fits,r,21.622509,3
SPLUS-s22s21.fits,r,20.825405,5
SPLUS-s22s21.fits,r,20.408794,10
SPLUS-s22s21.fits,r,18.515911,50
SPLUS-s22s21.fits,u,21.382769,3
SPLUS-s22s21.fits,u,20.576199,5
SPLUS-s22s21.fits,u,19.542027,10
SPLUS-s22s21.fits,u,18.051933,50
SPLUS-s22s21.fits,z,20.636972,3
SPLUS-s22s21.fits,z,20.148842,5
SPLUS-s22s21.fits,z,19.23024,10
SPLUS-s22s21.fits,z,17.847866,50
SPLUS-s22s21.fits,g,21.665947,3
SPLUS-s22s21.fits,g,20.883179,5
SPLUS-s22s21.fits,g,20.258682,10
SPLUS-s22s21.fits,g,18.552956,50
SPLUS-s26s15.fits,J0378,20.234343,3
SPLUS-s26s15.fits,J0378,19.570885,5
SPLUS-s26s15.fits,J0378,16.964489,10
SPLUS-s26s15.fits,J0378,16.344246,50
SPLUS-s26s15.fits,J0395,19.879032,3
SPLUS-s26s15.fits,J0395,19.201956,5
SPLUS-s26s15.fits,J0395,17.697433,10
SPLUS-s26s15.fits,J0395,16.815708,50
SPLUS-s26s15.fits,J0410,19.629042,3
SPLUS-s26s15.fits,J0410,18.844995,5
SPLUS-s26s15.fits,J0410,17.538635,10
SPLUS-s26s15.fits,J0410,16.092482,50
SPLUS-s26s15.fits,J0430,20.003017,3
SPLUS-s26s15.fits,J0430,18.999048,5
SPLUS-s26s15.fits,J0430,18.913898,10
SPLUS-s26s15.fits,J0430,16.615973,50
SPLUS-s26s15.fits,J0515,19.870255,3
SPLUS-s26s15.fits,J0515,18.709465,5
SPLUS-s26s15.fits,J0515,19.091839,10
SPLUS-s26s15.fits,J0515,17.175037,50
SPLUS-s26s15.fits,J0660,20.8779,3
SPLUS-s26s15.fits,J0660,20.043575,5
SPLUS-s26s15.fits,J0660,18.561378,10
SPLUS-s26s15.fits,J0660,17.85795,50
SPLUS-s26s15.fits,J0861,19.9721,3
SPLUS-s26s15.fits,J0861,18.903875,5
SPLUS-s26s15.fits,J0861,18.090597,10
SPLUS-s26s15.fits,J0861,17.065298,50
SPLUS-s26s15.fits,i,20.819513,3
SPLUS-s26s15.fits,i,19.912762,5
SPLUS-s26s15.fits,i,19.223799,10
SPLUS-s26s15.fits,i,17.58885,50
SPLUS-s26s15.fits,r,21.129387,3
SPLUS-s26s15.fits,r,19.958649,5
SPLUS-s26s15.fits,r,19.540287,10
SPLUS-s26s15.fits,r,17.673794,50
SPLUS-s26s15.fits,u,20.55611,3
SPLUS-s26s15.fits,u,19.407333,5
SPLUS-s26s15.fits,u,18.482906,10
SPLUS-s26s15.fits,u,17.233585,50
SPLUS-s26s15.fits,z,19.82502,3
SPLUS-s26s15.fits,z,19.200043,5
SPLUS-s26s15.fits,z,18.780685,10
SPLUS-s26s15.fits,z,16.982224,50
SPLUS-s26s15.fits,g,20.584803,3
SPLUS-s26s15.fits,g,19.715767,5
SPLUS-s26s15.fits,g,18.876163,10
SPLUS-s26s15.fits,g,17.367565,50
STRIPE82_0161.fits,J0378,20.41505,3
STRIPE82_0161.fits,J0378,19.738247,5
STRIPE82_0161.fits,J0378,18.656345,10
STRIPE82_0161.fits,J0378,16.743805,50
STRIPE82_0161.fits,J0395,20.067223,3
STRIPE82_0161.fits,J0395,18.544577,5
STRIPE82_0161.fits,J0395,17.555342,10
STRIPE82_0161.fits,J0395,16.06197,50
STRIPE82_0161.fits,J0410,20.040813,3
STRIPE82_0161.fits,J0410,18.720337,5
STRIPE82_0161.fits,J0410,18.055916,10
STRIPE82_0161.fits,J0410,16.241116,50
STRIPE82_0161.fits,J0430,20.11237,3
STRIPE82_0161.fits,J0430,18.68425,5
STRIPE82_0161.fits,J0430,19.11921,10
STRIPE82_0161.fits,J0430,16.987202,50
STRIPE82_0161.fits,J0515,20.322222,3
STRIPE82_0161.fits,J0515,19.420319,5
STRIPE82_0161.fits,J0515,18.394402,10
STRIPE82_0161.fits,J0515,17.36718,50
STRIPE82_0161.fits,J0660,21.019232,3
STRIPE82_0161.fits,J0660,20.428318,5
STRIPE82_0161.fits,J0660,19.360695,10
STRIPE82_0161.fits,J0660,17.890177,50
STRIPE82_0161.fits,J0861,19.670952,3
STRIPE82_0161.fits,J0861,18.672674,5
STRIPE82_0161.fits,J0861,18.379528,10
STRIPE82_0161.fits,J0861,16.620777,50
STRIPE82_0161.fits,i,20.202461,3
STRIPE82_0161.fits,i,19.995403,5
STRIPE82_0161.fits,i,18.969532,10
STRIPE82_0161.fits,i,17.077522,50
STRIPE82_0161.fits,r,21.136282,3
STRIPE82_0161.fits,r,20.481392,5
STRIPE82_0161.fits,r,19.512981,10
STRIPE82_0161.fits,r,18.12497,50
STRIPE82_0161.fits,u,20.795113,3
STRIPE82_0161.fits,u,20.321259,5
STRIPE82_0161.fits,u,18.179403,10
STRIPE82_0161.fits,u,16.867695,50
STRIPE82_0161.fits,z,19.60633,3
STRIPE82_0161.fits,z,18.956766,5
STRIPE82_0161.fits,z,18.39518,10
STRIPE82_0161.fits,z,16.842329,50
STRIPE82_0161.fits,g,21.59969,3
STRIPE82_0161.fits,g,20.165936,5
STRIPE82_0161.fits,g,19.714138,10
STRIPE82_0161.fits,g,18.448635,50
SPLUS-s23s48.fits,J0378,20.099588,3
SPLUS-s23s48.fits,J0378,20.180714,5
SPLUS-s23s48.fits,J0378,18.980331,10
SPLUS-s23s48.fits,J0378,16.951445,50
SPLUS-s23s48.fits,J0395,20.08854,3
SPLUS-s23s48.fits,J0395,19.089603,5
SPLUS-s23s48.fits,J0395,18.226025,10
SPLUS-s23s48.fits,J0395,16.320168,50
SPLUS-s23s48.fits,J0410,20.1701,3
SPLUS-s23s48.fits,J0410,17.702343,5
SPLUS-s23s48.fits,J0410,18.296047,10
SPLUS-s23s48.fits,J0410,16.60191,50
SPLUS-s23s48.fits,J0430,20.190006,3
SPLUS-s23s48.fits,J0430,19.5324,5
SPLUS-s23s48.fits,J0430,18.181425,10
SPLUS-s23s48.fits,J0430,16.40917,50
SPLUS-s23s48.fits,J0515,19.9986,3
SPLUS-s23s48.fits,J0515,19.436363,5
SPLUS-s23s48.fits,J0515,19.456999,10
SPLUS-s23s48.fits,J0515,17.106026,50
SPLUS-s23s48.fits,J0660,21.318935,3
SPLUS-s23s48.fits,J0660,20.305347,5
SPLUS-s23s48.fits,J0660,19.28613,10
SPLUS-s23s48.fits,J0660,17.7734,50
SPLUS-s23s48.fits,J0861,19.845085,3
SPLUS-s23s48.fits,J0861,18.837292,5
SPLUS-s23s48.fits,J0861,18.426382,10
SPLUS-s23s48.fits,J0861,16.39058,50
SPLUS-s23s48.fits,i,21.052929,3
SPLUS-s23s48.fits,i,19.998962,5
SPLUS-s23s48.fits,i,19.103268,10
SPLUS-s23s48.fits,i,17.970873,50
SPLUS-s23s48.fits,r,21.42944,3
SPLUS-s23s48.fits,r,20.685516,5
SPLUS-s23s48.fits,r,19.54789,10
SPLUS-s23s48.fits,r,17.625687,50
SPLUS-s23s48.fits,u,21.179035,3
SPLUS-s23s48.fits,u,19.71305,5
SPLUS-s23s48.fits,u,19.18127,10
SPLUS-s23s48.fits,u,17.710537,50
SPLUS-s23s48.fits,z,20.028254,3
SPLUS-s23s48.fits,z,19.034409,5
SPLUS-s23s48.fits,z,18.248978,10
SPLUS-s23s48.fits,z,17.053522,50
SPLUS-s23s48.fits,g,21.494669,3
SPLUS-s23s48.fits,g,20.789045,5
SPLUS-s23s48.fits,g,19.69321,10
SPLUS-s23s48.fits,g,18.180285,50
SPLUS-s20s12.fits,J0378,19.333172,3
SPLUS-s20s12.fits,J0378,18.955143,5
SPLUS-s20s12.fits,J0378,17.596626,10
SPLUS-s20s12.fits,J0378,16.496174,50
SPLUS-s20s12.fits,J0395,19.12988,3
SPLUS-s20s12.fits,J0395,18.388714,5
SPLUS-s20s12.fits,J0395,17.601294,10
SPLUS-s20s12.fits,J0395,16.032108,50
SPLUS-s20s12.fits,J0410,18.877441,3
SPLUS-s20s12.fits,J0410,18.340176,5
SPLUS-s20s12.fits,J0410,17.41517,10
SPLUS-s20s12.fits,J0410,16.002403,50
SPLUS-s20s12.fits,J0430,19.33484,3
SPLUS-s20s12.fits,J0430,18.468624,5
SPLUS-s20s12.fits,J0430,17.545444,10
SPLUS-s20s12.fits,J0430,16.080372,50
SPLUS-s20s12.fits,J0515,19.646711,3
SPLUS-s20s12.fits,J0515,17.876854,5
SPLUS-s20s12.fits,J0515,18.135456,10
SPLUS-s20s12.fits,J0515,16.452492,50
SPLUS-s20s12.fits,J0660,20.71098,3
SPLUS-s20s12.fits,J0660,19.793736,5
SPLUS-s20s12.fits,J0660,18.8138,10
SPLUS-s20s12.fits,J0660,16.349716,50
SPLUS-s20s12.fits,J0861,18.946224,3
SPLUS-s20s12.fits,J0861,18.13265,5
SPLUS-s20s12.fits,J0861,17.40538,10
SPLUS-s20s12.fits,J0861,16.124859,50
SPLUS-s20s12.fits,i,20.304688,3
SPLUS-s20s12.fits,i,19.572857,5
SPLUS-s20s12.fits,i,18.610525,10
SPLUS-s20s12.fits,i,17.121824,50
SPLUS-s20s12.fits,r,20.788984,3
SPLUS-s20s12.fits,r,19.809944,5
SPLUS-s20s12.fits,r,19.005474,10
SPLUS-s20s12.fits,r,17.66187,50
SPLUS-s20s12.fits,u,19.431278,3
SPLUS-s20s12.fits,u,19.607525,5
SPLUS-s20s12.fits,u,17.945599,10
SPLUS-s20s12.fits,u,16.012508,50
SPLUS-s20s12.fits,z,19.2525,3
SPLUS-s20s12.fits,z,18.656345,5
SPLUS-s20s12.fits,z,17.7713,10
SPLUS-s20s12.fits,z,16.125307,50
SPLUS-s20s12.fits,g,20.414482,3
SPLUS-s20s12.fits,g,19.704306,5
SPLUS-s20s12.fits,g,18.748526,10
SPLUS-s20s12.fits,g,17.492706,50
SPLUS-n14s52.fits,J0378,20.060314,3
SPLUS-n14s52.fits,J0378,18.974144,5
SPLUS-n14s52.fits,J0378,18.75674,10
SPLUS-n14s52.fits,J0378,16.800951,50
SPLUS-n14s52.fits,J0395,19.778484,3
SPLUS-n14s52.fits,J0395,18.620766,5
SPLUS-n14s52.fits,J0395,18.198597,10
SPLUS-n14s52.fits,J0395,16.414574,50
SPLUS-n14s52.fits,J0410,19.647846,3
SPLUS-n14s52.fits,J0410,18.90294,5
SPLUS-n14s52.fits,J0410,18.431572,10
SPLUS-n14s52.fits,J0410,16.448608,50
SPLUS-n14s52.fits,J0430,19.756891,3
SPLUS-n14s52.fits,J0430,19.223392,5
SPLUS-n14s52.fits,J0430,18.594044,10
SPLUS-n14s52.fits,J0430,16.606136,50
SPLUS-n14s52.fits,J0515,19.76047,3
SPLUS-n14s52.fits,J0515,19.406746,5
SPLUS-n14s52.fits,J0515,18.412128,10
SPLUS-n14s52.fits,J0515,16.83404,50
SPLUS-n14s52.fits,J0660,20.895012,3
SPLUS-n14s52.fits,J0660,19.870468,5
SPLUS-n14s52.fits,J0660,19.219677,10
SPLUS-n14s52.fits,J0660,17.747162,50
SPLUS-n14s52.fits,J0861,19.508827,3
SPLUS-n14s52.fits,J0861,18.992674,5
SPLUS-n14s52.fits,J0861,18.016787,10
SPLUS-n14s52.fits,J0861,16.476994,50
SPLUS-n14s52.fits,i,20.450037,3
SPLUS-n14s52.fits,i,19.936165,5
SPLUS-n14s52.fits,i,19.156792,10
SPLUS-n14s52.fits,i,17.533592,50
SPLUS-n14s52.fits,r,20.836376,3
SPLUS-n14s52.fits,r,20.053078,5
SPLUS-n14s52.fits,r,19.351528,10
SPLUS-n14s52.fits,r,17.78024,50
SPLUS-n14s52.fits,u,20.585976,3
SPLUS-n14s52.fits,u,19.807186,5
SPLUS-n14s52.fits,u,19.08265,10
SPLUS-n14s52.fits,u,17.27306,50
SPLUS-n14s52.fits,z,19.226704,3
SPLUS-n14s52.fits,z,19.219662,5
SPLUS-n14s52.fits,z,18.466564,10
SPLUS-n14s52.fits,z,16.793764,50
SPLUS-n14s52.fits,g,20.848314,3
SPLUS-n14s52.fits,g,20.240702,5
SPLUS-n14s52.fits,g,19.644485,10
SPLUS-n14s52.fits,g,17.58558,50
STRIPE82-0160.fits,J0378,19.995392,3
STRIPE82-0160.fits,J0378,19.278263,5
STRIPE82-0160.fits,J0378,17.92258,10
STRIPE82-0160.fits,J0378,16.274523,50
STRIPE82-0160.fits,J0395,19.258286,3
STRIPE82-0160.fits,J0395,18.804007,5
STRIPE82-0160.fits,J0395,17.48576,10
STRIPE82-0160.fits,J0395,16.139107,50
STRIPE82-0160.fits,J0410,19.364037,3
STRIPE82-0160.fits,J0410,19.003407,5
STRIPE82-0160.fits,J0410,17.831728,10
STRIPE82-0160.fits,J0410,16.551933,50
STRIPE82-0160.fits,J0430,19.772654,3
STRIPE82-0160.fits,J0430,19.06546,5
STRIPE82-0160.fits,J0430,17.729965,10
STRIPE82-0160.fits,J0430,16.116714,50
STRIPE82-0160.fits,J0515,19.363367,3
STRIPE82-0160.fits,J0515,19.37188,5
STRIPE82-0160.fits,J0515,18.395752,10
STRIPE82-0160.fits,J0515,16.477104,50
STRIPE82-0160.fits,J0660,20.320372,3
STRIPE82-0160.fits,J0660,19.619568,5
STRIPE82-0160.fits,J0660,18.709204,10
STRIPE82-0160.fits,J0660,17.316933,50
STRIPE82-0160.fits,J0861,19.678707,3
STRIPE82-0160.fits,J0861,18.900085,5
STRIPE82-0160.fits,J0861,18.250217,10
STRIPE82-0160.fits,J0861,16.752785,50
STRIPE82-0160.fits,i,20.931698,3
STRIPE82-0160.fits,i,19.937412,5
STRIPE82-0160.fits,i,18.736542,10
STRIPE82-0160.fits,i,17.771044,50
STRIPE82-0160.fits,r,21.253872,3
STRIPE82-0160.fits,r,20.043007,5
STRIPE82-0160.fits,r,19.128576,10
STRIPE82-0160.fits,r,18.124239,50
STRIPE82-0160.fits,u,20.701054,3
STRIPE82-0160.fits,u,19.934679,5
STRIPE82-0160.fits,u,19.485657,10
STRIPE82-0160.fits,u,17.147015,50
STRIPE82-0160.fits,z,20.042702,3
STRIPE82-0160.fits,z,19.314426,5
STRIPE82-0160.fits,z,18.364056,10
STRIPE82-0160.fits,z,16.983131,50
STRIPE82-0160.fits,g,20.852337,3
STRIPE82-0160.fits,g,20.231377,5
STRIPE82-0160.fits,g,18.84058,10
STRIPE82-0160.fits,g,18.263905,50
HYDRA_0100.fits,J0378,20.609386,3
HYDRA_0100.fits,J0378,19.569214,5
HYDRA_0100.fits,J0378,19.048439,10
HYDRA_0100.fits,J0378,17.386667,50
HYDRA_0100.fits,J0395,20.338066,3
HYDRA_0100.fits,J0395,19.714197,5
HYDRA_0100.fits,J0395,18.350971,10
HYDRA_0100.fits,J0395,16.934725,50
HYDRA_0100.fits,J0410,20.261463,3
HYDRA_0100.fits,J0410,19.8377,5
HYDRA_0100.fits,J0410,18.932577,10
HYDRA_0100.fits,J0410,16.953394,50
HYDRA_0100.fits,J0430,20.463707,3
HYDRA_0100.fits,J0430,19.880035,5
HYDRA_0100.fits,J0430,18.88889,10
HYDRA_0100.fits,J0430,16.6802,50
HYDRA_0100.fits,J0515,20.532127,3
HYDRA_0100.fits,J0515,19.359962,5
HYDRA_0100.fits,J0515,19.344109,10
HYDRA_0100.fits,J0515,17.088411,50
HYDRA_0100.fits,J0660,21.179802,3
HYDRA_0100.fits,J0660,20.604713,5
HYDRA_0100.fits,J0660,19.96901,10
HYDRA_0100.fits,J0660,18.015797,50
HYDRA_0100.fits,J0861,20.030306,3
HYDRA_0100.fits,J0861,19.429876,5
HYDRA_0100.fits,J0861,18.52346,10
HYDRA_0100.fits,J0861,17.092285,50
HYDRA_0100.fits,i,20.899479,3
HYDRA_0100.fits,i,20.253582,5
HYDRA_0100.fits,i,19.515957,10
HYDRA_0100.fits,i,17.70382,50
HYDRA_0100.fits,r,21.47456,3
HYDRA_0100.fits,r,21.000832,5
HYDRA_0100.fits,r,19.776524,10
HYDRA_0100.fits,r,17.906183,50
HYDRA_0100.fits,u,21.177185,3
HYDRA_0100.fits,u,20.30912,5
HYDRA_0100.fits,u,19.051983,10
HYDRA_0100.fits,u,17.645681,50
HYDRA_0100.fits,z,20.089119,3
HYDRA_0100.fits,z,19.449396,5
HYDRA_0100.fits,z,18.923378,10
HYDRA_0100.fits,z,17.219616,50
HYDRA_0100.fits,g,21.562893,3
HYDRA_0100.fits,g,20.41675,5
HYDRA_0100.fits,g,20.19641,10
HYDRA_0100.fits,g,18.336224,50
SPLUS-n13s04.fits,J0378,20.358517,3
SPLUS-n13s04.fits,J0378,19.175293,5
SPLUS-n13s04.fits,J0378,19.191765,10
SPLUS-n13s04.fits,J0378,17.029581,50
SPLUS-n13s04.fits,J0395,20.063202,3
SPLUS-n13s04.fits,J0395,19.546291,5
SPLUS-n13s04.fits,J0395,18.846472,10
SPLUS-n13s04.fits,J0395,16.757465,50
SPLUS-n13s04.fits,J0410,20.18914,3
SPLUS-n13s04.fits,J0410,19.559296,5
SPLUS-n13s04.fits,J0410,18.76544,10
SPLUS-n13s04.fits,J0410,16.953743,50
SPLUS-n13s04.fits,J0430,20.44215,3
SPLUS-n13s04.fits,J0430,19.744179,5
SPLUS-n13s04.fits,J0430,18.836977,10
SPLUS-n13s04.fits,J0430,16.944012,50
SPLUS-n13s04.fits,J0515,19.86798,3
SPLUS-n13s04.fits,J0515,19.892454,5
SPLUS-n13s04.fits,J0515,19.064615,10
SPLUS-n13s04.fits,J0515,17.106575,50
SPLUS-n13s04.fits,J0660,21.49081,3
SPLUS-n13s04.fits,J0660,20.80634,5
SPLUS-n13s04.fits,J0660,19.628345,10
SPLUS-n13s04.fits,J0660,18.395947,50
SPLUS-n13s04.fits,J0861,20.302647,3
SPLUS-n13s04.fits,J0861,19.297544,5
SPLUS-n13s04.fits,J0861,18.914074,10
SPLUS-n13s04.fits,J0861,17.07575,50
SPLUS-n13s04.fits,i,21.04588,3
SPLUS-n13s04.fits,i,20.413113,5
SPLUS-n13s04.fits,i,19.276482,10
SPLUS-n13s04.fits,i,17.940285,50
SPLUS-n13s04.fits,r,21.692684,3
SPLUS-n13s04.fits,r,20.741552,5
SPLUS-n13s04.fits,r,20.045048,10
SPLUS-n13s04.fits,r,18.547733,50
SPLUS-n13s04.fits,u,21.083546,3
SPLUS-n13s04.fits,u,19.64325,5
SPLUS-n13s04.fits,u,19.640507,10
SPLUS-n13s04.fits,u,17.204971,50
SPLUS-n13s04.fits,z,20.355896,3
SPLUS-n13s04.fits,z,19.50386,5
SPLUS-n13s04.fits,z,19.184181,10
SPLUS-n13s04.fits,z,17.401363,50
SPLUS-n13s04.fits,g,21.287258,3
SPLUS-n13s04.fits,g,20.706362,5
SPLUS-n13s04.fits,g,19.596752,10
SPLUS-n13s04.fits,g,18.425713,50
SPLUS-s46s17.fits,J0378,19.226181,3
SPLUS-s46s17.fits,J0378,18.797466,5
SPLUS-s46s17.fits,J0378,18.01626,10
SPLUS-s46s17.fits,J0378,16.46986,50
SPLUS-s46s17.fits,J0395,19.035105,3
SPLUS-s46s17.fits,J0395,18.551407,5
SPLUS-s46s17.fits,J0395,17.336449,10
SPLUS-s46s17.fits,J0395,16.101131,50
SPLUS-s46s17.fits,J0410,18.785332,3
SPLUS-s46s17.fits,J0410,18.40786,5
SPLUS-s46s17.fits,J0410,17.446255,10
SPLUS-s46s17.fits,J0410,16.028069,50
SPLUS-s46s17.fits,J0430,19.13885,3
SPLUS-s46s17.fits,J0430,18.532001,5
SPLUS-s46s17.fits,J0430,17.817726,10
SPLUS-s46s17.fits,J0430,16.002113,50
SPLUS-s46s17.fits,J0515,19.529278,3
SPLUS-s46s17.fits,J0515,18.694273,5
SPLUS-s46s17.fits,J0515,17.830683,10
SPLUS-s46s17.fits,J0515,16.182957,50
SPLUS-s46s17.fits,J0660,20.406906,3
SPLUS-s46s17.fits,J0660,19.933874,5
SPLUS-s46s17.fits,J0660,18.832804,10
SPLUS-s46s17.fits,J0660,17.418076,50
SPLUS-s46s17.fits,J0861,19.653584,3
SPLUS-s46s17.fits,J0861,18.866238,5
SPLUS-s46s17.fits,J0861,18.089342,10
SPLUS-s46s17.fits,J0861,16.430227,50
SPLUS-s46s17.fits,i,20.327671,3
SPLUS-s46s17.fits,i,19.364435,5
SPLUS-s46s17.fits,i,18.892826,10
SPLUS-s46s17.fits,i,17.017693,50
SPLUS-s46s17.fits,r,20.682838,3
SPLUS-s46s17.fits,r,19.817944,5
SPLUS-s46s17.fits,r,18.873783,10
SPLUS-s46s17.fits,r,17.67128,50
SPLUS-s46s17.fits,u,19.598822,3
SPLUS-s46s17.fits,u,18.332178,5
SPLUS-s46s17.fits,u,18.323376,10
SPLUS-s46s17.fits,u,16.011703,50
SPLUS-s46s17.fits,z,19.766106,3
SPLUS-s46s17.fits,z,18.765778,5
SPLUS-s46s17.fits,z,18.365585,10
SPLUS-s46s17.fits,z,16.553185,50
SPLUS-s46s17.fits,g,20.420912,3
SPLUS-s46s17.fits,g,19.226418,5
SPLUS-s46s17.fits,g,19.154915,10
SPLUS-s46s17.fits,g,16.875216,50
SPLUS-n14s35.fits,J0378,20.056934,3
SPLUS-n14s35.fits,J0378,19.446243,5
SPLUS-n14s35.fits,J0378,17.639534,10
SPLUS-n14s35.fits,J0378,16.672089,50
SPLUS-n14s35.fits,J0395,19.468643,3
SPLUS-n14s35.fits,J0395,18.624977,5
SPLUS-n14s35.fits,J0395,18.331728,10
SPLUS-n14s35.fits,J0395,16.192265,50
SPLUS-n14s35.fits,J0410,19.784622,3
SPLUS-n14s35.fits,J0410,18.833187,5
SPLUS-n14s35.fits,J0410,18.379055,10
SPLUS-n14s35.fits,J0410,16.053047,50
SPLUS-n14s35.fits,J0430,19.865253,3
SPLUS-n14s35.fits,J0430,18.722982,5
SPLUS-n14s35.fits,J0430,18.446703,10
SPLUS-n14s35.fits,J0430,16.131971,50
SPLUS-n14s35.fits,J0515,19.730324,3
SPLUS-n14s35.fits,J0515,18.973763,5
SPLUS-n14s35.fits,J0515,18.5561,10
SPLUS-n14s35.fits,J0515,16.282452,50
SPLUS-n14s35.fits,J0660,21.06935,3
SPLUS-n14s35.fits,J0660,20.27771,5
SPLUS-n14s35.fits,J0660,19.307587,10
SPLUS-n14s35.fits,J0660,17.85587,50
SPLUS-n14s35.fits,J0861,19.775436,3
SPLUS-n14s35.fits,J0861,18.820108,5
SPLUS-n14s35.fits,J0861,18.527225,10
SPLUS-n14s35.fits,J0861,16.338905,50
SPLUS-n14s35.fits,i,21.099056,3
SPLUS-n14s35.fits,i,19.907495,5
SPLUS-n14s35.fits,i,19.117397,10
SPLUS-n14s35.fits,i,17.826397,50
SPLUS-n14s35.fits,r,21.168198,3
SPLUS-n14s35.fits,r,20.495405,5
SPLUS-n14s35.fits,r,19.435081,10
SPLUS-n14s35.fits,r,18.191633,50
SPLUS-n14s35.fits,u,20.542774,3
SPLUS-n14s35.fits,u,20.045025,5
SPLUS-n14s35.fits,u,18.161858,10
SPLUS-n14s35.fits,u,17.177494,50
SPLUS-n14s35.fits,z,20.177567,3
SPLUS-n14s35.fits,z,19.241148,5
SPLUS-n14s35.fits,z,18.9123,10
SPLUS-n14s35.fits,z,17.190102,50
SPLUS-n14s35.fits,g,21.134682,3
SPLUS-n14s35.fits,g,20.394901,5
SPLUS-n14s35.fits,g,19.851345,10
SPLUS-n14s35.fits,g,18.183714,50
SPLUS-n08s43.fits,J0378,20.62814,3
SPLUS-n08s43.fits,J0378,19.863409,5
SPLUS-n08s43.fits,J0378,18.257479,10
SPLUS-n08s43.fits,J0378,17.115456,50
SPLUS-n08s43.fits,J0395,20.178053,3
SPLUS-n08s43.fits,J0395,19.48853,5
SPLUS-n08s43.fits,J0395,18.41594,10
SPLUS-n08s43.fits,J0395,16.657263,50
SPLUS-n08s43.fits,J0410,20.258835,3
SPLUS-n08s43.fits,J0410,19.657541,5
SPLUS-n08s43.fits,J0410,18.986156,10
SPLUS-n08s43.fits,J0410,16.429222,50
SPLUS-n08s43.fits,J0430,20.418388,3
SPLUS-n08s43.fits,J0430,19.703007,5
SPLUS-n08s43.fits,J0430,18.73447,10
SPLUS-n08s43.fits,J0430,17.064163,50
SPLUS-n08s43.fits,J0515,19.954922,3
SPLUS-n08s43.fits,J0515,19.957209,5
SPLUS-n08s43.fits,J0515,19.247122,10
SPLUS-n08s43.fits,J0515,17.176437,50
SPLUS-n08s43.fits,J0660,21.047844,3
SPLUS-n08s43.fits,J0660,20.301394,5
SPLUS-n08s43.fits,J0660,19.175022,10
SPLUS-n08s43.fits,J0660,17.86163,50
SPLUS-n08s43.fits,J0861,19.789528,3
SPLUS-n08s43.fits,J0861,18.919123,5
SPLUS-n08s43.fits,J0861,18.69142,10
