field,band,peak,snr_value
SPLUS-n11s35.fits,J0515,18.490643,10
SPLUS-n11s35.fits,J0515,17.028992,50
SPLUS-n11s35.fits,J0660,20.82905,3
SPLUS-n11s35.fits,J0660,20.32549,5
SPLUS-n11s35.fits,J0660,19.274237,10
SPLUS-n11s35.fits,J0660,17.577225,50
SPLUS-n11s35.fits,J0861,19.565903,3
SPLUS-n11s35.fits,J0861,18.702457,5
SPLUS-n11s35.fits,J0861,18.449055,10
SPLUS-n11s35.fits,J0861,16.519428,50
SPLUS-n11s35.fits,i,20.397305,3
SPLUS-n11s35.fits,i,19.886566,5
SPLUS-n11s35.fits,i,19.175243,10
SPLUS-n11s35.fits,i,17.40485,50
SPLUS-n11s35.fits,r,20.933447,3
SPLUS-n11s35.fits,r,20.058262,5
SPLUS-n11s35.fits,r,19.388166,10
SPLUS-n11s35.fits,r,17.84577,50
SPLUS-n11s35.fits,u,20.46441,3
SPLUS-n11s35.fits,u,19.448427,5
SPLUS-n11s35.fits,u,19.073814,10
SPLUS-n11s35.fits,u,17.717903,50
SPLUS-n11s35.fits,z,19.733112,3
SPLUS-n11s35.fits,z,18.93341,5
SPLUS-n11s35.fits,z,18.32819,10
SPLUS-n11s35.fits,z,16.40958,50
SPLUS-n11s35.fits,g,21.067293,3
SPLUS-n11s35.fits,g,20.173717,5
SPLUS-n11s35.fits,g,19.486603,10
SPLUS-n11s35.fits,g,17.870102,50
STRIPE82-0007.fits,J0378,20.230152,3
STRIPE82-0007.fits,J0378,20.02519,5
STRIPE82-0007.fits,J0378,19.168186,10
STRIPE82-0007.fits,J0378,16.839077,50
STRIPE82-0007.fits,J0395,19.922821,3
STRIPE82-0007.fits,J0395,19.149925,5
STRIPE82-0007.fits,J0395,18.428917,10
STRIPE82-0007.fits,J0395,16.727386,50
STRIPE82-0007.fits,J0410,20.054657,3
STRIPE82-0007.fits,J0410,19.552088,5
STRIPE82-0007.fits,J0410,18.611698,10
STRIPE82-0007.fits,J0410,16.234772,50
STRIPE82-0007.fits,J0430,20.371407,3
STRIPE82-0007.fits,J0430,19.67618,5
STRIPE82-0007.fits,J0430,18.522041,10
STRIPE82-0007.fits,J0430,16.741207,50
STRIPE82-0007.fits,J0515,20.091839,3
STRIPE82-0007.fits,J0515,19.14333,5
STRIPE82-0007.fits,J0515,19.033321,10
STRIPE82-0007.fits,J0515,16.239935,50
STRIPE82-0007.fits,J0660,21.053982,3
STRIPE82-0007.fits,J0660,20.330788,5
STRIPE82-0007.fits,J0660,19.23322,10
STRIPE82-0007.fits,J0660,17.468342,50
STRIPE82-0007.fits,J0861,19.525663,3
STRIPE82-0007.fits,J0861,18.803417,5
STRIPE82-0007.fits,J0861,18.22649,10
STRIPE82-0007.fits,J0861,16.853266,50
STRIPE82-0007.fits,i,20.987541,3
STRIPE82-0007.fits,i,20.259468,5
STRIPE82-0007.fits,i,19.310219,10
STRIPE82-0007.fits,i,17.437744,50
STRIPE82-0007.fits,r,21.362616,3
STRIPE82-0007.fits,r,20.488358,5
STRIPE82-0007.fits,r,19.881409,10
STRIPE82-0007.fits,r,17.067902,50
STRIPE82-0007.fits,u,20.579578,3
STRIPE82-0007.fits,u,19.495731,5
STRIPE82-0007.fits,u,19.298487,10
STRIPE82-0007.fits,u,16.44795,50
STRIPE82-0007.fits,z,20.177467,3
STRIPE82-0007.fits,z,19.225283,5
STRIPE82-0007.fits,z,18.45598,10
STRIPE82-0007.fits,z,16.537247,50
STRIPE82-0007.fits,g,21.410355,3
STRIPE82-0007.fits,g,20.35373,5
STRIPE82-0007.fits,g,19.519573,10
STRIPE82-0007.fits,g,18.306026,50
SPLUS-s20s17.fits,J0378,19.560562,3
SPLUS-s20s17.fits,J0378,19.022524,5
SPLUS-s20s17.fits,J0378,17.912312,10
SPLUS-s20s17.fits,J0378,16.485535,50
SPLUS-s20s17.fits,J0395,19.083405,3
SPLUS-s20s17.fits,J0395,17.976376,5
SPLUS-s20s17.fits,J0395,17.980045,10
SPLUS-s20s17.fits,J0395,16.01927,50
SPLUS-s20s17.fits,J0410,18.645397,3
SPLUS-s20s17.fits,J0410,18.461416,5
SPLUS-s20s17.fits,J0410,18.00993,10
SPLUS-s20s17.fits,J0410,16.069885,50
SPLUS-s20s17.fits,J0430,19.076942,3
SPLUS-s20s17.fits,J0430,18.548944,5
SPLUS-s20s17.fits,J0430,17.864956,10
SPLUS-s20s17.fits,J0430,16.181004,50
SPLUS-s20s17.fits,J0515,18.948336,3
SPLUS-s20s17.fits,J0515,18.163195,5
SPLUS-s20s17.fits,J0515,18.347523,10
SPLUS-s20s17.fits,J0515,16.24442,50
SPLUS-s20s17.fits,J0660,20.460209,3
SPLUS-s20s17.fits,J0660,19.60306,5
SPLUS-s20s17.fits,J0660,18.933296,10
SPLUS-s20s17.fits,J0660,17.218884,50
SPLUS-s20s17.fits,J0861,19.565813,3
SPLUS-s20s17.fits,J0861,18.832531,5
SPLUS-s20s17.fits,J0861,17.823174,10
SPLUS-s20s17.fits,J0861,16.7538,50
SPLUS-s20s17.fits,i,20.625631,3
SPLUS-s20s17.fits,i,19.7805,5
SPLUS-s20s17.fits,i,18.983372,10
SPLUS-s20s17.fits,i,17.488102,50
SPLUS-s20s17.fits,r,20.384384,3
SPLUS-s20s17.fits,r,19.74022,5
SPLUS-s20s17.fits,r,19.063599,10
SPLUS-s20s17.fits,r,17.620579,50
SPLUS-s20s17.fits,u,19.452564,3
SPLUS-s20s17.fits,u,19.30262,5
SPLUS-s20s17.fits,u,18.235025,10
SPLUS-s20s17.fits,u,16.138138,50
SPLUS-s20s17.fits,z,19.932585,3
SPLUS-s20s17.fits,z,19.364529,5
SPLUS-s20s17.fits,z,18.69914,10
SPLUS-s20s17.fits,z,17.191174,50
SPLUS-s20s17.fits,g,20.368553,3
SPLUS-s20s17.fits,g,19.784584,5
SPLUS-s20s17.fits,g,19.21562,10
SPLUS-s20s17.fits,g,17.429932,50
SPLUS-s29s47.fits,J0378,19.814493,3
SPLUS-s29s47.fits,J0378,19.798775,5
SPLUS-s29s47.fits,J0378,18.50775,10
SPLUS-s29s47.fits,J0378,16.890982,50
SPLUS-s29s47.fits,J0395,19.881088,3
SPLUS-s29s47.fits,J0395,19.331135,5
SPLUS-s29s47.fits,J0395,18.291634,10
SPLUS-s29s47.fits,J0395,16.286514,50
SPLUS-s29s47.fits,J0410,20.002611,3
SPLUS-s29s47.fits,J0410,19.391182,5
SPLUS-s29s47.fits,J0410,18.569365,10
SPLUS-s29s47.fits,J0410,16.713848,50
SPLUS-s29s47.fits,J0430,20.149176,3
SPLUS-s29s47.fits,J0430,19.384565,5
SPLUS-s29s47.fits,J0430,18.872032,10
SPLUS-s29s47.fits,J0430,16.530582,50
SPLUS-s29s47.fits,J0515,20.19644,3
SPLUS-s29s47.fits,J0515,19.123823,5
SPLUS-s29s47.fits,J0515,18.719778,10
SPLUS-s29s47.fits,J0515,16.739296,50
SPLUS-s29s47.fits,J0660,20.794651,3
SPLUS-s29s47.fits,J0660,19.919212,5
SPLUS-s29s47.fits,J0660,19.258713,10
SPLUS-s29s47.fits,J0660,17.351223,50
SPLUS-s29s47.fits,J0861,19.714546,3
SPLUS-s29s47.fits,J0861,18.691278,5
SPLUS-s29s47.fits,J0861,18.172195,10
SPLUS-s29s47.fits,J0861,16.71241,50
SPLUS-s29s47.fits,i,20.523577,3
SPLUS-s29s47.fits,i,19.876696,5
SPLUS-s29s47.fits,i,18.8983,10
SPLUS-s29s47.fits,i,17.598972,50
SPLUS-s29s47.fits,r,21.137922,3
SPLUS-s29s47.fits,r,20.422329,5
SPLUS-s29s47.fits,r,19.595837,10
SPLUS-s29s47.fits,r,17.810919,50
